Manip	Nom	Numero	Replicat	Temperature_exposition	duree_temp	Etat_chenille_J14	Devenir	Nombre_larves	Nombre_cocons	Nombre_femelles	Nombre_males	Duree_devenir	Duree_Nymphe
L	L_1_5_A	1	A	5	14	vivante	chrysalide	NA	NA	NA	NA	56	NA
L	L_2_5_A	2	A	5	14	vivante	chrysalide	NA	NA	NA	NA	40	NA
L	L_3_5_A	3	A	5	14	vivante	morte	NA	NA	NA	NA	17	NA
L	L_4_5_A	4	A	5	14	vivante	morte	NA	NA	NA	NA	85	NA
L	L_5_5_A	5	A	5	14	vivante	chrysalide	NA	NA	NA	NA	63	NA
L	L_6_5_A	6	A	5	14	vivante	chrysalide	NA	NA	NA	NA	41	NA
L	L_7_5_A	7	A	5	14	vivante	morte	NA	NA	NA	NA	17	NA
L	L_8_5_A	8	A	5	14	vivante	chrysalide	NA	NA	NA	NA	33	NA
L	L_9_5_A	9	A	5	14	vivante	chrysalide	NA	NA	NA	NA	36	NA
L	L_10_5_A	10	A	5	14	vivante	chrysalide	NA	NA	NA	NA	44	NA
L	L_11_5_A	11	A	5	14	morte	morte	NA	NA	NA	NA	14	NA
C	C_1_5_A	1	A	5	50	vivante	morte	NA	NA	NA	NA	46	NA
C	C_2_5_A	2	A	5	50	vivante	morte	NA	NA	NA	NA	36	NA
C	C_3_5_A	3	A	5	50	vivante	morte	NA	NA	NA	NA	36	NA
C	C_4_5_A	4	A	5	50	vivante	morte	NA	NA	NA	NA	46	NA
C	C_5_5_A	5	A	5	50	vivante	morte	NA	NA	NA	NA	36	NA
C	C_6_5_A	6	A	5	50	vivante	morte	NA	NA	NA	NA	43	NA
C	C_7_5_A	7	A	5	50	vivante	morte	NA	NA	NA	NA	22	NA
C	C_8_5_A	8	A	5	50	vivante	morte	NA	NA	NA	NA	36	NA
C	C_9_5_A	9	A	5	50	vivante	morte	NA	NA	NA	NA	36	NA
C	C_10_5_A	10	A	5	50	vivante	morte	NA	NA	NA	NA	22	NA
C	C_11_5_A	11	A	5	50	vivante	morte	NA	NA	NA	NA	22	NA
T	T_1_5_A	1	A	5	50	vivante	chrysalide	NA	NA	NA	NA	66	NA
T	T_2_5_A	2	A	5	50	vivante	morte	NA	NA	NA	NA	46	NA
T	T_3_5_A	3	A	5	50	vivante	morte	NA	NA	NA	NA	36	NA
T	T_4_5_A	4	A	5	50	vivante	morte	NA	NA	NA	NA	36	NA
T	T_5_5_A	5	A	5	50	vivante	morte	NA	NA	NA	NA	36	NA
T	T_6_5_A	6	A	5	50	vivante	morte	NA	NA	NA	NA	36	NA
L	L_1_10_A	1	A	10	14	vivante	parasitoide	NA	NA	NA	NA	28	NA
L	L_2_10_A	2	A	10	14	vivante	parasitoide	NA	NA	NA	NA	28	NA
L	L_3_10_A	3	A	10	14	vivante	parasitoide	NA	NA	NA	NA	28	NA
L	L_4_10_A	4	A	10	14	vivante	parasitoide	NA	NA	NA	NA	36	NA
L	L_5_10_A	5	A	10	14	vivante	chrysalide	NA	NA	NA	NA	36	NA
L	L_6_10_A	6	A	10	14	vivante	chrysalide	NA	NA	NA	NA	36	NA
L	L_7_10_A	7	A	10	14	morte	morte	NA	NA	NA	NA	14	NA
L	L_8_10_A	8	A	10	14	vivante	parasitoide	NA	NA	NA	NA	28	NA
L	L_9_10_A	9	A	10	14	vivante	morte	NA	NA	NA	NA	41	NA
C	C_1_10_A	1	A	10	50	vivante	chrysalide	NA	NA	NA	NA	66	NA
C	C_2_10_A	2	A	10	50	vivante	chrysalide	NA	NA	NA	NA	55	NA
C	C_3_10_A	3	A	10	50	vivante	chrysalide	NA	NA	NA	NA	73	NA
C	C_4_10_A	4	A	10	50	vivante	chrysalide	NA	NA	NA	NA	69	NA
C	C_5_10_A	5	A	10	50	vivante	chrysalide	NA	NA	NA	NA	67	NA
C	C_6_10_A	6	A	10	50	vivante	chrysalide	NA	NA	NA	NA	79	NA
C	C_7_10_A	7	A	10	50	vivante	morte	NA	NA	NA	NA	22	NA
C	C_8_10_A	8	A	10	50	vivante	chrysalide	NA	NA	NA	NA	69	NA
C	C_9_10_A	9	A	10	50	vivante	chrysalide	NA	NA	NA	NA	63	NA
C	C_10_10_A	10	A	10	50	vivante	chrysalide	NA	NA	NA	NA	73	NA
